CORPORATE_IDENTIFICATION_NUMBER,Company_Name,Company_status,Company_class,Company_Category,Company_sub_category,DATE_OF_REGISTRATION,REGISTERED_STATE,AUTHORIZED_CAP,PAIDUP_CAPITAL,Industrial_Class,PRINCIPAL_BUSINESS_ACTIVITY_AS_PER_CIN,Registered_Office_Address,REGISTRAR_OF_COMPANIES,EMAIL_ADDR,Latest_Year_AR,Latest_Year_BS
L00000HP1994PLC014770,HITKARI INDUSTRIES LIMITED,Active,Public,Company limited by Shares,Non-govt company,29-06-94,Himachal Pradesh,60000000,32054700,0,Unclassified,"PLOT NO 18 SECTOR 1INDUSTRIAL AREA PARWANOO SOLAN , Unclassified HP 173220",RoC-Himachal Pradesh,sachdevakk@hotmail.com,31-03-20,31-03-20
L15520HP1934PLC000135,MOHAN MEAKIN LIMITED,Active,Public,Company limited by Shares,Non-govt company,02-11-34,Himachal Pradesh,100000000,42542395,15520,Manufacture of food products and beverages,"Solan Brewery, P.O. Solan SOLAN. Solan Brewery , Unclassified HP 173214",RoC-Himachal Pradesh,solan@mohanmeakin.com,31-03-20,31-03-20
L15543HP1991PLC019065,MOUNT EVEREST MINERAL WATER LIMITED,Amalgamated,Public,Company limited by Shares,Non-govt company,20-12-91,Himachal Pradesh,350000000,339959710,15543,Manufacture of food products and beverages,"Village Dhaula Kuan DISTT SIRMOUR HIMACHAL PRADESH , Unclassified HP 000000",RoC-Himachal Pradesh,deepika.srivastava@tataglobalbeverages.com,31-03-14,31-03-14
L17111HP1982PLC016465,DEEPAK SPINNERS LTD,Active,Public,Company limited by Shares,Non-govt company,25-03-82,Himachal Pradesh,140000000,71893680,17111,Manufacture of textiles,"#121 INDUSTRIAL AREA,BADDI TEH NALAGARH DISTT SOLAN HIMACHAL PRADESH , Unclassified HP 000000",RoC-Himachal Pradesh,puneeta.arora@dslindia.in,31-03-20,31-03-20
L17115HP1980PLC005647,WINSOME TEXTILE INDUSTRIES LIMITED,Active,Public,Company limited by Shares,Non-govt company,18-09-80,Himachal Pradesh,250000000,198200000,17115,Manufacture of textiles,"1 INDUSTRIAL AREABADDI SOLAN HIMACHAL PRADESH , Unclassified HP 173205",RoC-Himachal Pradesh,cswtil@winsometextile.com,31-03-20,31-03-20
L17119HP1980PLC031020,HIMACHAL FIBRES LIMITED,Active,Public,Company limited by Shares,Non-govt company,20-02-80,Himachal Pradesh,335000000,206250000,17119,Manufacture of textiles,"PLOT NO. 43-44, INDUSTRIAL AREA, BAROTOWALA , Unclassified HP 174103",RoC-Himachal Pradesh,hfl.corporate@gmail.com,31-03-20,31-03-20
L19119HP1985PLC006115,J K LEATHERITE LIMITED,Under liquidation,Public,Company limited by Shares,Non-govt company,21-01-85,Himachal Pradesh,60000000,42783000,19119,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear","108 ,INUSTIAL AREA BADDI DISTT SOLAN , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
L21012HP1980PLC004336,RUCHIRA PAPERS LIMITED,Active,Public,Company limited by Shares,Non-govt company,08-12-80,Himachal Pradesh,310000000,242518040,21012,Manufacture of paper and paper products,"TRILOK PUR ROADKALA AMB DISTT SIRMAUR HIMACHAL PARDESH , Unclassified HP 173030",RoC-Himachal Pradesh,cs@ruchirapapers.com,31-03-20,31-03-20
L21012HP1994PLC014173,NAPA PAPERS LTD,Active,Public,Company limited by Shares,Non-govt company,31-01-94,Himachal Pradesh,90000000,700,21012,Manufacture of paper and paper products,"PLANT & MACHINERY LYING ATVILL JHARMAJRI BAROTIWALA BADDI ROAD SOLAN HIMACHAL PRADESH , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
L21022HP1989PLC009383,HIMACHAL TISSUES LTD,Amalgamated,Public,Company limited by Shares,Non-govt company,01-06-89,Himachal Pradesh,150000000,7862000,21022,Manufacture of paper and paper products,"TIRLOK PUR ROADKALA AMB SIRMOUR HIMACHAL PRADESH , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
L24117HP2000PLC027598,GULSHAN CHEMFILL LIMITED,Not Available for eFiling,Public,Company limited by Shares,Non-govt company,20-10-00,Himachal Pradesh,65000000,38147000,24117,Manufacture of chemicals and chemical products,"VILL RAMPUR MAJRIDHAULA KUAN DISTT SIRMOUR HIMACHAL PRADESH , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
L24230HP2004PLC027558,JHS SVENDGAARD LABORATORIES LIMITED,Active,Public,Company limited by Shares,Non-govt company,08-10-04,Himachal Pradesh,650000000,609004650,24230,Manufacture of chemicals and chemical products,"TRILOKPUR ROADKALA AMB DISTT SIRMAUR HIMACHAL PRADESH , Unclassified HP 000000",RoC-Himachal Pradesh,csbrand@svendgaard.com,31-03-19,31-03-19
L24230HP2005PLC028969,BETA DRUGS LIMITED,Active,Public,Company limited by Shares,Non-govt company,21-09-05,Himachal Pradesh,100000000,96137900,24230,Manufacture of chemicals and chemical products,"Village Nandpur Baddi , Unclassified HP 174101",RoC-Himachal Pradesh,cs@betadrugslimited.com,31-03-20,31-03-20
