PC_CODE,PC_DESCRIPTION,UNIT,CTY_CODE,CTY_DESC,Qty,VAL(USD Million)
99,OTHER COMMODITIES,NA,599,UNSPECIFIED,NA,159.558366
99,OTHER COMMODITIES,NA,1213,KENYA,NA,16.088382
99,OTHER COMMODITIES,NA,1395,TANZANIA REP,NA,13.96587
99,OTHER COMMODITIES,NA,1417,UGANDA,NA,9.371726
99,OTHER COMMODITIES,NA,2035,BENIN,NA,1.564994
99,OTHER COMMODITIES,NA,2050,BURKINA FASO,NA,0.465861
99,OTHER COMMODITIES,NA,2057,CAMEROON,NA,0.46598
99,OTHER COMMODITIES,NA,2067,C AFRI REP,NA,0.173326
99,OTHER COMMODITIES,NA,2069,CHAD,NA,0.141277
99,OTHER COMMODITIES,NA,2087,CONGO P REP,NA,1.564975
99,OTHER COMMODITIES,NA,2141,GABON,NA,0.252075
99,OTHER COMMODITIES,NA,2199,COTE D' IVOIRE,NA,1.659592
99,OTHER COMMODITIES,NA,2241,MADAGASCAR,NA,1.28042
99,OTHER COMMODITIES,NA,2255,MAURITANIA,NA,0.640754
99,OTHER COMMODITIES,NA,2257,MAURITIUS,NA,2.991896
99,OTHER COMMODITIES,NA,2289,NIGER,NA,0.169576
99,OTHER COMMODITIES,NA,2345,RWANDA,NA,0.701755
99,OTHER COMMODITIES,NA,2353,SENEGAL,NA,1.39205
99,OTHER COMMODITIES,NA,2399,TOGO,NA,16.12126
99,OTHER COMMODITIES,NA,2459,CONGO D. REP.,NA,1.599476
99,OTHER COMMODITIES,NA,3011,ANGOLA,NA,1.417316
99,OTHER COMMODITIES,NA,3041,BOTSWANA,NA,0.154993
99,OTHER COMMODITIES,NA,3053,BURUNDI,NA,0.914374
99,OTHER COMMODITIES,NA,3063,CAPE VERDE IS,NA,0.103293
99,OTHER COMMODITIES,NA,3085,COMOROS,NA,0.066765
99,OTHER COMMODITIES,NA,3102,DJIBOUTI,NA,0.364686
99,OTHER COMMODITIES,NA,3115,ETHIOPIA,NA,4.442303
99,OTHER COMMODITIES,NA,3116,ERITREA,NA,0.151146
99,OTHER COMMODITIES,NA,3117,EQUTL GUINEA,NA,0.284644
99,OTHER COMMODITIES,NA,3143,GAMBIA,NA,0.200921
99,OTHER COMMODITIES,NA,3149,GHANA,NA,4.541668
99,OTHER COMMODITIES,NA,3167,GUINEA,NA,0.574668
99,OTHER COMMODITIES,NA,3169,GUINEA BISSAU,NA,0.2836
99,OTHER COMMODITIES,NA,3227,LESOTHO,NA,0.000005
99,OTHER COMMODITIES,NA,3229,LIBERIA,NA,0.944649
99,OTHER COMMODITIES,NA,3243,MALAWI,NA,0.916923
99,OTHER COMMODITIES,NA,3249,MALI,NA,1.362197
99,OTHER COMMODITIES,NA,3267,MOZAMBIQUE,NA,2.117756
99,OTHER COMMODITIES,NA,3269,NAMIBIA,NA,0.044549
99,OTHER COMMODITIES,NA,3291,NIGERIA,NA,25.88265
99,OTHER COMMODITIES,NA,3339,REUNION,NA,0.257027
99,OTHER COMMODITIES,NA,3349,SAO TOME,NA,0.009886
99,OTHER COMMODITIES,NA,3355,SEYCHELLES,NA,0.447013
99,OTHER COMMODITIES,NA,3357,SIERRA LEONE,NA,0.04671
99,OTHER COMMODITIES,NA,3363,SOMALIA,NA,0.171017
99,OTHER COMMODITIES,NA,3385,SWAZILAND,NA,1.53043
99,OTHER COMMODITIES,NA,3461,ZAMBIA,NA,5.49204
99,OTHER COMMODITIES,NA,4005,ALGERIA,NA,4.147934
99,OTHER COMMODITIES,NA,4111,EGYPT A RP,NA,12.291798
99,OTHER COMMODITIES,NA,4231,LIBYA,NA,0.242081
