PC_CODE,PC_DESCRIPTION,UNIT,CTY_CODE,CTY_DESC,Qty,VAL(USD Million)
99,OTHER COMMODITIES,NA,599,UNSPECIFIED,NA,270.889542
99,OTHER COMMODITIES,NA,1213,KENYA,NA,17.159452
99,OTHER COMMODITIES,NA,1395,TANZANIA REP,NA,8.896539
99,OTHER COMMODITIES,NA,1417,UGANDA,NA,5.181412
99,OTHER COMMODITIES,NA,2035,BENIN,NA,2.476015
99,OTHER COMMODITIES,NA,2050,BURKINA FASO,NA,0.452
99,OTHER COMMODITIES,NA,2057,CAMEROON,NA,0.448168
99,OTHER COMMODITIES,NA,2067,C AFRI REP,NA,0.001924
99,OTHER COMMODITIES,NA,2069,CHAD,NA,0.004635
99,OTHER COMMODITIES,NA,2087,CONGO P REP,NA,1.747451
99,OTHER COMMODITIES,NA,2141,GABON,NA,0.385672
99,OTHER COMMODITIES,NA,2199,COTE D' IVOIRE,NA,1.864063
99,OTHER COMMODITIES,NA,2241,MADAGASCAR,NA,0.68048
99,OTHER COMMODITIES,NA,2255,MAURITANIA,NA,1.082959
99,OTHER COMMODITIES,NA,2257,MAURITIUS,NA,3.189677
99,OTHER COMMODITIES,NA,2289,NIGER,NA,0.202926
99,OTHER COMMODITIES,NA,2345,RWANDA,NA,0.662748
99,OTHER COMMODITIES,NA,2353,SENEGAL,NA,3.675454
99,OTHER COMMODITIES,NA,2399,TOGO,NA,1.905975
99,OTHER COMMODITIES,NA,2459,CONGO D. REP.,NA,1.177996
99,OTHER COMMODITIES,NA,3011,ANGOLA,NA,0.642994
99,OTHER COMMODITIES,NA,3041,BOTSWANA,NA,0.241659
99,OTHER COMMODITIES,NA,3053,BURUNDI,NA,0.054557
99,OTHER COMMODITIES,NA,3063,CAPE VERDE IS,NA,0.129066
99,OTHER COMMODITIES,NA,3085,COMOROS,NA,0.092474
99,OTHER COMMODITIES,NA,3102,DJIBOUTI,NA,0.495789
99,OTHER COMMODITIES,NA,3115,ETHIOPIA,NA,3.845262
99,OTHER COMMODITIES,NA,3116,ERITREA,NA,0.088391
99,OTHER COMMODITIES,NA,3117,EQUTL GUINEA,NA,0.07923
99,OTHER COMMODITIES,NA,3143,GAMBIA,NA,0.121039
99,OTHER COMMODITIES,NA,3149,GHANA,NA,4.604121
99,OTHER COMMODITIES,NA,3167,GUINEA,NA,1.737687
99,OTHER COMMODITIES,NA,3169,GUINEA BISSAU,NA,0.116671
99,OTHER COMMODITIES,NA,3227,LESOTHO,NA,0.000928
99,OTHER COMMODITIES,NA,3229,LIBERIA,NA,0.512861
99,OTHER COMMODITIES,NA,3243,MALAWI,NA,2.306195
99,OTHER COMMODITIES,NA,3249,MALI,NA,1.003219
99,OTHER COMMODITIES,NA,3267,MOZAMBIQUE,NA,1.089194
99,OTHER COMMODITIES,NA,3269,NAMIBIA,NA,1.003473
99,OTHER COMMODITIES,NA,3291,NIGERIA,NA,17.684824
99,OTHER COMMODITIES,NA,3339,REUNION,NA,0.103463
99,OTHER COMMODITIES,NA,3349,SAO TOME,NA,0.020617
99,OTHER COMMODITIES,NA,3355,SEYCHELLES,NA,0.308286
99,OTHER COMMODITIES,NA,3357,SIERRA LEONE,NA,0.130711
99,OTHER COMMODITIES,NA,3363,SOMALIA,NA,0.184343
99,OTHER COMMODITIES,NA,3385,SWAZILAND,NA,1.288622
99,OTHER COMMODITIES,NA,3461,ZAMBIA,NA,2.616591
